Timestamp,Age,Gender,City,Position,Experience_Years,Seniority,Main_Tech,Salary,Salary_Bonus,Last_Year_Salary,Last_Year_Salary_Bonus,Vacations,Contract_Duration,Main_Language_Work,Company_Size,Company_Type
24/11/2020 11:14:15,26.0,male,munich,software engineer,5,senior,typescript,80000.0,5000,75000.0,10000,30,unlimited contract,english,51-100,product
24/11/2020 11:14:16,26.0,male,berlin,backend developer,7,senior,ruby,80000.0,nan,82000.0,5000,28,unlimited contract,english,101-1000,product
24/11/2020 11:14:21,29.0,male,berlin,software engineer,12,lead,javascript / typescript,120000.0,120000,100000.0,100000,30,temporary contract,english,101-1000,product
24/11/2020 11:15:24,28.0,male,berlin,frontend developer,4,junior,javascript,54000.0,nan,nan,nan,24,unlimited contract,english,51-100,startup
24/11/2020 11:15:46,37.0,male,berlin,backend developer,17,senior,c# .net,62000.0,nan,62000.0,nan,29,unlimited contract,english,101-1000,product
24/11/2020 11:15:53,32.0,male,berlin,devops,5,senior,"aws, gcp, python,k8s",76000.0,5000,76000.0,5000,30,unlimited contract,english,11-50,startup
24/11/2020 11:16:35,37.0,male,berlin,frontend developer,6,middle,javascript,57000.0,nan,nan,nan,24,unlimited contract,english,11-50,product
24/11/2020 11:16:44,24.0,male,berlin,frontend developer,5,senior,typescript,65000.0,nan,65000.0,nan,27,unlimited contract,english,1000+,product
24/11/2020 11:17:24,29.0,male,berlin,backend developer,8,senior,php,56000.0,nan,55000.0,nan,28,unlimited contract,english,101-1000,product
24/11/2020 11:17:50,35.0,male,berlin,software engineer,15,lead,java,95000.0,nan,90000.0,nan,30,unlimited contract,english,101-1000,product
24/11/2020 11:18:06,32.0,female,hamburg,data engineer,2,junior,aws hadoop postgre typescript,52500.0,nan,52500.0,nan,30,unlimited contract,german,101-1000,consulting / agency
24/11/2020 11:18:16,nan,male,berlin,software engineer,25,senior,c++,100000.0,101,80000.0,13000,24,temporary contract,english,11-50,product
24/11/2020 11:18:22,nan,nan,berlin,software engineer,nan,lead,php,90000.0,40000,nan,nan,nan,unlimited contract,english,1000+,nan
24/11/2020 11:18:26,34.0,male,berlin,software engineer,14,senior,typescript,70000.0,nan,nan,nan,28,unlimited contract,english,11-50,startup
24/11/2020 11:18:40,28.0,male,berlin,designer (ui/ux),11,senior,nan,75000.0,9400,66000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 11:18:41,31.0,male,wolfsburg,backend developer,5,senior,kotlin,75000.0,2000,75000.0,2000,25,unlimited contract,english,101-1000,consulting / agency
24/11/2020 11:18:52,29.0,male,hamburg,backend developer,7,middle,ruby,60350.0,nan,58000.0,500,31,unlimited contract,english,1000+,product
24/11/2020 11:19:10,41.0,male,berlin,product manager,18,senior,nan,78000.0,nan,100000.0,nan,28,unlimited contract,english,51-100,startup
24/11/2020 11:20:03,27.0,male,berlin,backend developer,8,senior,php,60000.0,nan,55000.0,nan,25,unlimited contract,english,1000+,product
24/11/2020 11:20:49,34.0,male,berlin,mobile developer,11,lead,kotlin,80000.0,80000,75000.0,75000,28,unlimited contract,english,101-1000,product
24/11/2020 11:21:10,34.0,male,berlin,devops,13,senior,nan,103000.0,nan,90000.0,nan,30,unlimited contract,english,1000+,product
24/11/2020 11:21:18,34.0,male,berlin,software architect,15,lead,nodejs,100000.0,nan,92000.0,7000,24,unlimited contract,english,1000+,product
24/11/2020 11:22:57,25.0,male,berlin,software engineer,5,senior,javascript,65000.0,nan,nan,nan,28,unlimited contract,german,1000+,product
